Account Number,Post Date,Check,Description,Debit,Credit,Status
"XXXXXX7703",4/4/2025,,"HIBACHI AND BUBBLE       JAMESTOWN    NC",24.82,,Posted
"XXXXXX7703",4/2/2025,,"SHELL OIL 53236000039    HIGH POINT   NC",37.52,,Posted
"XXXXXX7703",4/2/2025,,"TACO BELL 039606         HIGH POINT   NC",14.70,,Posted
"XXXXXX7703",4/1/2025,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,434.92,Posted
"XXXXXX7703",3/26/2025,,"WL *Steam Purchase       425-9522985  WA",10.20,,Posted
"XXXXXX7703",3/25/2025,,"SQ *CUP A JOE HILLSBOROUGRaleigh      NC",3.24,,Posted
"XXXXXX7703",3/23/2025,,"SQ *CUP A JOE HILLSBOROUGRaleigh      NC",6.63,,Posted
"XXXXXX7703",3/23/2025,,"SQ *CUP A JOE HILLSBOROUGRaleigh      NC",3.79,,Posted
"XXXXXX7703",3/13/2025,,"DUKE FAMILY MEDICINE     DURHAM       NC",20.00,,Posted
"XXXXXX7703",3/12/2025,,"SQ *CUP A JOE HILLSBOROUGRaleigh      NC",3.52,,Posted
"XXXXXX7703",3/11/2025,,"SQ *CUP A JOE HILLSBOROUGRaleigh      NC",5.63,,Posted
